neighborhood,title,price,bedrooms,pid,sourcepage,link,date,sqft,longitude,latitude
cupertino,Come and See Our Beautiful Apartment Homes at Cupertino City Center!,2342.0,1.0,4761703595,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4761703595.html,2014-11-14 14:14,701.0,-122.029604,37.321161
mountain view,Great location just 6 blocks to downtown! Close to caltrain station,2098.0,1.0,4761655080,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4761655080.html,2014-11-14 13:34,,-122.074997,37.385315999999996
mountain view,"Upstairs unit just blocks to downtown, Castro St! GREAT location close",1895.0,1.0,4761671931,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4761671931.html,2014-11-14 13:31,,-122.08984199999999,37.390162
mountain view,Spacious One Bedroom!,1975.0,1.0,4752551872,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4752551872.html,2014-11-14 13:30,756.0,-122.0783,37.3893
san mateo,LOOKING FOR A TOWNHOME WITH PATIO?! LOOK NO FURTHER! $199 DEPOSIT!,2787.0,2.0,4761612998,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4761612998.html,2014-11-14 13:30,941.0,,
south san francisco,"3Beds 1bath, Amazing Single house for Rent",2950.0,3.0,4761529685,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4761529685.html,2014-11-14 13:29,1110.0,-122.43314299999999,37.648779
mountain view,Beautiful Apartment! Lovely Upgrades!,2595.0,2.0,4761666893,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4761666893.html,2014-11-14 13:28,966.0,-122.0783,37.3893
mountain view,Now This Is Living! Spacious Two Bedroom Just Minutes to Downtown!,2544.0,2.0,4761625526,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4761625526.html,2014-11-14 13:25,900.0,-122.07511699999999,37.402745
redwood city,$1000 look-and-lease special! 1/Bed walnut floor / steel appliances!,2985.0,1.0,4761626550,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4761626550.html,2014-11-14 13:21,778.0,-122.2238,37.499082
mountain view,"Apply Today, Dogs Welcome, Minutes from Google and Facebook",3065.0,1.0,4761638292,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4761638292.html,2014-11-14 13:16,588.0,-122.112474,37.403040000000004
berkeley,OPEN SUN.► AVAIL. NOW: Southern Exposure & Cul-De-Sac Quiet,2595.0,2.0,4761782657,http://sfbay.craigslist.org/search/eby/apa,http://sfbay.craigslist.org/eby/apa/4761782657.html,2014-11-14 14:39,,-122.263799,37.856457
pittsburg / antioch,"3bd, 2ba, Single Family House, Available Dec 1",1800.0,3.0,4753822502,http://sfbay.craigslist.org/search/eby/apa,http://sfbay.craigslist.org/eby/apa/4753822502.html,2014-11-14 14:39,1667.0,-121.782582,37.97468
fremont / union city / newark,"Mellow on Meadowbrook Common, Centerville Fremont",2300.0,2.0,4761768818,http://sfbay.craigslist.org/search/eby/apa,http://sfbay.craigslist.org/eby/apa/4761768818.html,2014-11-14 14:39,1061.0,-121.9999,37.5605
concord / pleasant hill / martinez,Spacious Ground Floor 1x1 with Walk In Closet & Garage!,1950.0,1.0,4761768352,http://sfbay.craigslist.org/search/eby/apa,http://sfbay.craigslist.org/eby/apa/4761768352.html,2014-11-14 14:36,790.0,-122.05561599999999,37.958783000000004
Merced,明亮 独立房,1250.0,3.0,4742008650,http://sfbay.craigslist.org/search/eby/apa,http://sfbay.craigslist.org/eby/apa/4742008650.html,2014-11-14 14:35,1650.0,-120.508,37.3302
oakland lake merritt / grand,"~*~*~ NICE, Comfortable, and Loaded FLAT for Great Gardener(s) ~*~*~",2350.0,2.0,4761756765,http://sfbay.craigslist.org/search/eby/apa,http://sfbay.craigslist.org/eby/apa/4761756765.html,2014-11-14 14:35,,-122.237555,37.802537
berkeley,ALBANY / BERKELEY House Newly Remodel,3950.0,3.0,4761772513,http://sfbay.craigslist.org/search/eby/apa,http://sfbay.craigslist.org/eby/apa/4761772513.html,2014-11-14 14:33,1300.0,-122.289355,37.883644
San Jose,*** GREAT LOCATION & AFFORDABLE 1 BD/1 BA ***,1500.0,1.0,4737644058,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4737644058.html,2014-11-14 14:13,552.0,-121.927821,37.324649
cupertino,AMAZING Deal for the Holidays - 2 Weeks FREE on Immediate Move In,3099.0,2.0,4761689512,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4761689512.html,2014-11-14 14:11,1165.0,-122.03021000000001,37.320768
mountain view,Spacious Townhouse Close to Downtown,3600.0,3.0,4757610474,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4757610474.html,2014-11-14 14:11,1684.0,-122.085973,37.398740000000004
